ID,birth_year,gender,yr_experience,industry,occupation,num_employees,household_size,metro_regional,perc_RW_last_q,pref_perc_RW_last_q,perc_RW_last_yr,pref_perc_RW_last_yr,pref_RW_post_covid,update_RW_agreement_post_covid,worked_RW_past_six_months,frequency_RW,pref_frequency_RW,employer_onsite_policy,perc_required_onsite,employers_policy_suits_me,choose_level_of_RW,choose_which_days_RW,direct_manager_denies_allows_RW,feelings_about_employer_policy,six_months_employer_encouraged_RW,six_months_employer_prepared_employees_for_RW,six_months_common_to_RW,six_months_easy_to_get_permission,six_months_collaborate_easily_RW,pared_collab,six_months_RW_decreases_chance_of_promotion,six_months_take_more_breaks_RW,RW_positive_or_negative_for_employer,who_in_org_is_most_supportive_of_RW,post_covid_employer_would_encourage_RW,post_covid_emplolyer_would_make_changes_to_accomodate_RW,post_covid_more_choice_about_RW,hrs_spent_onsite_preparing_commuting,hrs_spent_onsite_working,hrs_spent_onsite_caring_domestic_activities,hrs_spent_onsite_personal_family_time,hrs_spent_onsite_sleep,hrs_spent_RW_preparing_commuting,hrs_spent_RW_working,hrs_spent_RW_caring_domestic_activities,hrs_spent_RW_personal_family_time,hrs_spent_RW_sleep,RW_paycut_interest,accepted_paycut,six_month_barriers_RW_caring_responsibilities,six_month_barriers_RW_connectivity,six_month_barriers_RW_company_software_systems,six_month_barriers_RW_difficulty_collaborating_remotely,six_month_barriers_RW_poor_management,six_month_barriers_RW_IT_equipment,six_month_barriers_RW_feeling_leftout_isolated,six_month_barriers_RW_extra_costs,six_month_barriers_RW_cyber_security,six_month_barriers_RW_tasks_that_cannot_be_done_remotely,six_month_barriers_RW_workspace_conditions,six_month_barriers_RW_motivation,six_month_barriers_RW_managment_discourages_remote_work,six_month_barriers_RW_living_situation,six_month_barriers_RW_lack_of_RW_skills,six_month_barriers_RW_health_safety_remote,hybrid_biggest_barriers_one,hybrid_smallest_barriers_one,hybrid_biggest_barriers_two,hybrid_smallest_barriers_two,hybrid_biggest_barriers_three,hybrid_smallest_barriers_three,hybrid_biggest_barriers_four,hybrid_smallest_barriers_four,hybrid_biggest_barriers_five,hybrid_smallest_barriers_five,hybrid_biggest_barriers_six,hybrid_smallest_barriers_six,hybrid_biggest_barriers_seven,hybrid_smallest_barriers_seven,hybrid_biggest_barriers_eight,hybrid_smallest_barriers_eight,hybrid_biggest_barriers_nine,hybrid_smallest_barriers_nine,hybrid_biggest_barriers_ten,hybrid_smallest_barriers_ten,hybrid_biggest_barriers_eleven,hybrid_smallest_barriers_eleven,hybrid_biggest_barriers_twelve,hybrid_smallest_barriers_twelve,hybrid_biggest_barriers_thirteen,hybrid_smallest_barriers_thirteen,hybrid_biggest_barriers_fourteen,hybrid_smallest_barriers_fourteen,feel_better_when_RW,pared_wellness,more_active_when_RW,feel_better_seeing_colleagues_onsite,do_you_manage_employees,managed_employees_RW,can_offer_RW_to_managed_employees,offering_RW_retains_employees,offering_RW_recruits_employees,team_works_well_RW,easy_to_manage_employees_RW,easy_to_manage_poor_performers_RW,well_prepared_to_manager_RW,managing_RW_more_results_focused,easy_to_contact_employees_RW,productivity_RW,managed_employees_productivity_RW
1008,1957,Female,More than 5 years,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",Between 1 and 4,Couple with no dependent children,Regional,20%,30%,30%,10%,10%,Yes,Yes,30%,10%,Yes,20%,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly Positive,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,3,Strongly disagree,Somewhat agree,Somewhat Negative,They are about the same,Somewhat unlikely,Somewhat likely,Neither unlikely or likely,1,9,1,6,7,1,9,3,4,7,No,,Not a barrier for me,Not a barrier for me,Significantly worsened,Significantly worsened,Not a barrier for me,Significantly worsened,Significantly worsened,Not a barrier for me,Significantly worsened,Not a barrier for me,Significantly worsened,Significantly worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Interruptions,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Difficulty innovating,Somewhat disagree,2,Somewhat disagree,Strongly disagree,No,,,,,,,,,,,50%,
209,1988,Female,Between 6 and 12 months,"Agriculture, Forestry and Fishing",Community and personal service workers - Health and Welfare Support Workers,I am a sole trader/owner-operator,Couple with no dependent children,Regional,20%,20%,50%,30%,30%,Yes,No,,,No,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,3,Somewhat disagree,Somewhat agree,Strongly Positive,My direct manger(s),Somewhat likely,Very unlikely,Neither unlikely or likely,20,,,,4,20,,,,4,No,,Somewhat worsened,Somewhat improved,Somewhat worsened,Significantly worsened,Significantly worsened,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly worsened,Somewhat worsened,Somewhat improved,Significantly improved,Stayed about the same,Not a barrier for me,Somewhat worsened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,2,Neither agree nor disagree,Strongly disagree,No,,,,,,,,,,,30%,
378,1985,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 5 and 19,Couple with dependent children,Metro,60%,70%,60%,70%,70%,Yes,Yes,60%,60%,Yes,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,Somewhat Positive,Senior leadership,Somewhat likely,Somewhat unlikely,Neither unlikely or likely,3,9,2,2,8,3,10,1,2,8,No,,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat worsened,Somewhat worsened,Stayed about the same,Interruptions,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Problems with audio-visual setup,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Connectivity/internet issues,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Somewhat disagree,2,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,30%,30%
737,1995,Male,Between 1 and 5 years,Mining,Clerical and administrative workers - Personal Assistants and Secretaries,Between 5 and 19,Other one family household,Metro,40%,40%,60%,50%,10%,Yes,No,,,Yes,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,3,Somewhat agree,Somewhat disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2,7,2,5,8,2,6,3,4,9,No,,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Significantly improved,Stayed about the same,Significantly worsened,Significantly worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Problems with audio-visual setup,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Somewhat disagree,2,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,20%,20%
1297,1971,Female,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,More than 200,Single person,Regional,10%,10%,10%,10%,10%,Yes,Yes,10%,10%,No,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,3,Neither agree nor disagree,Somewhat agree,Somewhat Negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,1,10,1,5,7,0.5,8.5,1,6.5,7.5,No,,Not a barrier for me,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Interruptions,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Difficulty innovating,Difficulty collaborating with remote colleagues,Noisy work environment,Interruptions,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Lack of privacy,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Difficulty innovating,Somewhat disagree,2,Neither agree nor disagree,Somewhat agree,Yes,No,,,,,,,,,,20%,20%
1108,1996,Male,Between 1 and 5 years,Administrative and Support,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Single person,Metro,60%,40%,50%,30%,30%,Yes,Yes,10%,20%,No,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Senior leadership,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,3,8,0,5,8,0.5,8,0,7.5,8,Yes,0.05,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Interruptions,Interruptions,Noisy work environment,Interruptions,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Difficulty innovating,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat disagree,2,Neither agree nor disagree,Somewhat agree,No,,,,,,,,,,,30%,
484,1984,Male,Between 6 and 12 months,Administrative and Support,Community and personal service workers - Hospitality Workers,I am a sole trader/owner-operator,Other one family household,Metro,30%,50%,50%,40%,30%,Yes,Yes,70%,50%,No,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,3,Somewhat disagree,Somewhat disagree,Neither positive nor negative,Senior leadership,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,4,4,4,4,8,4,4,4,4,8,Yes,0.1,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat disagree,2,Somewhat agree,Strongly disagree,Yes,Yes,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,0%,0%
1504,1974,Male,Between 6 and 12 months,Construction,Technicians and trades workers - Construction Trades Workers,Between 1 and 4,Couple with dependent children,Metro,0%,50%,30%,40%,30%,Yes,No,,,No,,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat Negative,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,3,Somewhat disagree,Somewhat disagree,Neither positive nor negative,Senior leadership,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,1,1,1,1,20,,24,,,,No,,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Significantly worsened,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Somewhat disagree,2,Somewhat disagree,Neither agree nor disagree,Yes,No,,,,,,,,,,40%,40%
723,1966,Male,More than 5 years,Education and Training,Professionals - Education Professionals,Between 20 and 199,Single person,Metro,0%,0%,0%,0%,0%,Yes,No,,,Yes,100%,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Positive,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,3,Strongly disagree,Neither agree nor disagree,Strongly Negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,3,10,2,2,7,3,10,2,2,7,No,,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat worsened,Not a barrier for me,Somewhat worsened,Somewhat worsened,Somewhat worsened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,2,Somewhat disagree,Strongly agree,Yes,No,,,,,,,,,,30%,30%
653,1976,Male,More than 5 years,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",More than 200,Couple with dependent children,Metro,60%,50%,40%,60%,50%,No,No,,,Yes,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,3,Strongly disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat unlikely,Somewhat likely,1,10,3,3,7,2,10,3,3,6,No,,Somewhat improved,Significantly worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat improved,Stayed about the same,Lack of privacy,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Noisy work environment,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Noisy work environment,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Somewhat disagree,2,Neither agree nor disagree,Somewhat agree,Yes,No,,,,,,,,,,30%,30%
670,1974,Male,Between 6 and 12 months,"Agriculture, Forestry and Fishing",Managers - Farmers and Farm Managers,More than 200,One parent family with dependent children,Metro,20%,60%,70%,20%,10%,Yes,Yes,50%,10%,Yes,80%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat likely,Somewhat likely,Neither unlikely or likely,3,8,3,2,8,3,6,3,2,10,No,,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,2,Somewhat disagree,Somewhat agree,Yes,No,,,,,,,,,,30%,30%
888,1974,Male,Between 1 and 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,90%,60%,80%,20%,60%,Yes,Yes,20%,60%,Yes,20%,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither positive nor negative,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,3,Strongly agree,Somewhat disagree,Neither positive nor negative,They are about the same,Somewhat likely,Neither unlikely or likely,Very likely,1.5,10,2,3.5,7,0,12,2,3,7,No,,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,2,Neither agree nor disagree,Strongly agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,20%,20%
92,1993,Female,Between 6 and 12 months,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Couple with no dependent children,Metro,20%,50%,30%,50%,50%,Yes,Yes,50%,30%,No,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,5,5,5,9,,2,10,2,2,8,Yes,0.1,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Noisy work environment,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Difficulty innovating,Difficulty collaborating with remote colleagues,Somewhat disagree,2,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,30%,
305,1971,Male,More than 5 years,Financial and Insurance,"Professionals - Legal, Social and Welfare Professionals",More than 200,Couple with no dependent children,Metro,80%,70%,90%,70%,70%,Yes,Yes,10%,10%,Yes,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3,Neither agree nor disagree,Strongly disagree,Somewhat Positive,They are about the same,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,1,7,7,2,7,0.5,9,5.5,2,7,No,,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,2,Somewhat agree,Strongly agree,No,,,,,,,,,,,10%,
1149,1998,Female,Between 6 and 12 months,Other Services,Sales workers - Sales Assistants and Salespersons,Between 20 and 199,Multiple family household,Metro,50%,50%,50%,50%,40%,Yes,Yes,50%,50%,Unsure,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,3,Somewhat agree,Neither agree nor disagree,Somewhat Positive,They are about the same,Somewhat unlikely,Neither unlikely or likely,Very likely,1,8,3,2,10,1,8,3,2,10,Yes,0.5,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Significantly worsened,Significantly improved,Significantly improved,Stayed about the same,Somewhat worsened,Significantly worsened,Stayed about the same,Stayed about the same,Significantly worsened,Not a barrier for me,Stayed about the same,Somewhat worsened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,2,Somewhat disagree,Somewhat disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,0%,0%
384,1970,Female,More than 5 years,"Rental, Hiring and Real Estate",Managers - Specialist Managers,Between 20 and 199,Group household,Metro,70%,70%,80%,70%,70%,Yes,Yes,40%,60%,Yes,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,Somewhat Positive,Senior leadership,Neither unlikely or likely,Somewhat unlikely,Somewhat likely,5,9,1,1,8,0,10,3,2,9,No,,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,2,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,20%,20%
692,1984,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Couple with no dependent children,Metro,50%,20%,30%,20%,20%,Yes,Yes,10%,10%,Yes,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,0.5,7,3,6.5,7,0.5,7,3,6.5,7,Yes,0.05,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Somewhat disagree,2,Somewhat disagree,Somewhat agree,No,,,,,,,,,,,0%,
